business_id,summary
--I7YYLada0tSLkORTHb5Q,"I've been to this place twice, the first time being the day they opened and second time exactly two weeks later. Service was very prompt and unlike other reviews it seems obvious to you can sit at bar or wait for hostesses since there is a hostessed stand - no one thought to sweep under table or wipe chairs before sitting new group! Food is good but not out of the ordinary and much like an applebeer ’s, TGIFridays, or Chili'?"
-7XWJYkutqhIxLen7Grg1g,"Prince Sushi is one of my favourite sushi places in the GTA. It's located at the AMC Theatre Plaza and is small in size - with about 15 smaller tables! Food is alright, menu is okay, and prices are good too... but having said that I found this place to be just regular!! They have a great selection of rolls, grilled meat and sashimi as well as a good selection of soft shell crab."
0Rni7ocMC_Lg2UH0lDeKMQ,"Barros pizza can get pretty busy, so if you're placing to - go orders on one of their busier nights, you might need an extra 10 - 15 minutes. This is by far the worst location I have ever had at Barros pizzeria, keep in mind I always love Barro ’s but will not be back next time a restaurant closes down El Martini Mcdonaldry and his family ate there."
0kPm1zEpeXFRg8D2phqgCQ,"I'm conflicted with giving this place one star but I had to for the terrible treatment by the manager KAT. I stopped in here before work to get an ice - covered caramel macchiato and it was not sweet AT ALL!! The workers there are pretty rude and act like they just do n’t want be at, hoping next time will better... only come here if you want wait in drive thru for 28 min, have some screw up your order, then get "" snippy """
1Fpk8ibHhZYnCw8fnGny8w,"The entire main level of this restaurant makes you feel like you're somewhere down south. One order only has 3 and asked if we could have 4 because it was my birthday, so we reserved a booth well in advance but they could n’t seat us there - ending up giving me another table near front of the restaurant! For example, if the menu described the OG Duck CHAUFA as what it was which was basically fried rice with shreds from duck init, I would nt be so disappointed when"
2ALnrUa1_U8JHNgscad8OQ,"If you're looking for an intimate night out, go elsewhere. Caramel Bar & lounge is one of the smallest I've been in - great for upscale cocktails with plenty more seating and DJ'd music... but it's not teeming with partygoers! We stayed there long enough to finish our bottle of vodka and leave to The Bank so that we could get the party started:) I do have another problem when my girlfriends are only female."
2xrpo-LXV9uGIwpvy0dwUw,"There is no clear signage on where to pull your car up for an oil change but what makes me give them a horrible review is their customer service and hidden charges. The manager was not helpful at all and after arguing with me, she wanted to charge me for the more expensive wash I did n't ask for! It was like "" miraculous,""no clay, no detailing just washed the soap dried residue off and my car looked like it should after drying - I did decline if steam cleaning the interior, but they will"
3kUqNxO1rkDDb89GAfyNgw,"I highly recommend my own clients there due to my experiences at Evolve Wellness Spa and especially as an industry professional hair designer. The facial itself was pretty much everything I want from any facial but do n't always get - an attentive esthetician ( in this case, the lovely Keris ) who gives a lengthy décolleté massage as well with hand and arm massage while mask sets – even straight up left room for 10 minutes! After my first ( bad ) experience ( and review ), Robyn, ( one of )"
4no7JcP4CYasqxdxmrTGRA,"Despite slow service, I'm giving you five stars for your performance in the "" scorch Kris so bad he would rather cut off his tongue "" with the drink, this will end up being about $ 25, which is likely more than you'd pay for a night out eating wings anyway. Personally think she was just jealous and having an awful day because we were being so nice to her... not my cup of tea - but it was worth it!"
4tjKsIaBXCDUP9PL82Vu_A,"If you're looking for a full spa experience, head elsewhere. But I must say I was quite let down with the experience and will probably not be returning to this place - there is no lounging area after your massage. While paying $ 40 for manicures and $ 80 for pedicures, it would have been nice to receive something as an "" I'm sorry "" instead of a gift, my mom came back with broken spirit and badly done manicure & pedicure!"
6RbCJLiwNYwS6ab9vzD_zg,"Pita land is a great Mediterranean grocery and the best joint in Pittsburgh to get freshly made pits of all varieties and fresh hummus. This place works as both' grocery store and cafe, And believe me when I say the have amazing food here, The Manoeh are incredible, so too is the Shawarma! Do n’t miss out This place works for a grocery store and a cafe, And believe myself when you say the lamb burger was the BEST I ’ve ever had in an city of good"
793LPDn8axywoOANbDeAZw,"The staff is nice and helpful, Its always clean, You get a free slice of bread with butter and 2 giant cookies nicely wrapped up for my enjoyment. I just had THE BEST Italian sandwich ever, with Justthe right Amountof Sauce's and ingredients - it was made perfectly. There were only two people in line, one lady did n’t have any clue as to what she wanted yet... but the fact that they bake fresh bread will keep me coming back when visiting."
7e3PZzUpG5FYOTGt3O3ePA,"The food was good, but this review is for price. "" I honestly could of eaten at an strip big name 5 star that was a 4 coarse meal "" dessert was another unusual treat, which I will call "" the Dessert With No Name, "" since even the restaurant acknowledged upon being asked what concoction waverly's chef threw together - and did not name; He said it was a concoction Wavellies chef threw together and did NOT name..."
7vvliv5R0MD7BQ2CsquhcQ,"It's a nice casual cafe to catch up with friends and family over coffee and pastry or even to catch some work on your laptop as the cafe does supply free WiFi as well. They have brunch from 8:30am-2:30pm on weekends and if you have kids, you can bring in your own laptop for dozens of hours. There are monthly Smashmouth Spoken Word Nights that is so addictive despite not having kids eat at all unless you're a mom!"
84DjKzaR26vphu9fNI9nKg,"Bob Greene: waitress at "" prickly pear "" drink was too thick for his liking. He says they need to consider adding more half - priced appetizers to their happy hour menu, ahi salad is good! Greenle: it'll be nice to have PT'ers in the back with no contact with customers if she works there? Greenle: you should think about giving her less hours to be near customers or maybe she should work in front of people"
